yyyymm,temperature_volw_mean,salinity_volw_mean,temperature_uncert,salinity_uncert,temperature_obs_wt,salinity_obs_wt
194101,274.553,34.741,nan,nan,0.085881,0.0834619
194102,274.553,34.7412,nan,nan,0.0903385,0.0779872
194103,274.553,34.7415,nan,nan,0.0780051,0.0524613
194104,274.552,34.742,nan,nan,0.0887101,0.0610286
194105,274.551,34.7422,nan,nan,0.106703,0.0793715
194106,274.552,34.742,nan,nan,0.0869291,0.0707068
194107,274.552,34.7417,nan,nan,0.0901008,0.083237
194108,274.553,34.7413,nan,nan,0.0931319,0.0870796
194109,274.553,34.7411,nan,nan,0.133748,0.105324
194110,274.553,34.7408,nan,nan,0.11587,0.0821568
194111,274.553,34.7407,nan,nan,0.0934536,0.049012
194112,274.554,34.7408,nan,nan,0.0703301,0.0292218
194201,274.554,34.741,nan,nan,0.0846244,0.0241356
194202,274.553,34.7412,nan,nan,0.125298,0.0182137
194203,274.553,34.7415,nan,nan,0.135355,0.0397484
194204,274.552,34.742,nan,nan,0.129357,0.0424982
194205,274.551,34.7422,nan,nan,0.130857,0.043402
194206,274.552,34.7421,nan,nan,0.11892,0.039248
194207,274.552,34.7417,nan,nan,0.100287,0.0386979
194208,274.553,34.7414,nan,nan,0.10007,0.0546794
194209,274.553,34.7411,nan,nan,0.0693881,0.0441034
194210,274.553,34.7409,nan,nan,0.109093,0.0597449
194211,274.553,34.7408,nan,nan,0.103683,0.0570318
194212,274.554,34.7408,nan,nan,0.158977,0.0458679
194301,274.554,34.741,nan,nan,0.107421,0.0199341
194302,274.553,34.7412,nan,nan,0.135638,0.0238838
194303,274.553,34.7416,nan,nan,0.138008,0.0273915
194304,274.552,34.742,nan,nan,0.153834,0.0330305
194305,274.551,34.7422,nan,nan,0.111249,0.0289872
194306,274.552,34.7421,nan,nan,0.0317396,0.031619
194307,274.552,34.7417,nan,nan,0.0405779,0.0369746
194308,274.553,34.7414,nan,nan,0.183024,0.0435693
194309,274.553,34.7411,nan,nan,0.229918,0.035133
194310,274.553,34.7409,nan,nan,0.213682,0.024532
194311,274.553,34.7408,nan,nan,0.212962,0.0232065
194312,274.554,34.7408,nan,nan,0.220111,0.0265108
194401,274.554,34.741,nan,nan,0.242614,0.0322923
194402,274.553,34.7412,nan,nan,0.218826,0.0289089
194403,274.553,34.7416,nan,nan,0.257057,0.0287926
194404,274.552,34.742,nan,nan,0.221927,0.0251067
194405,274.551,34.7422,nan,nan,0.24815,0.033078
194406,274.552,34.7421,nan,nan,0.279472,0.031042
194407,274.552,34.7417,nan,nan,0.288652,0.0261704
194408,274.553,34.7414,nan,nan,0.270408,0.0263945
194409,274.553,34.7411,nan,nan,0.268054,0.0275558
194410,274.553,34.7409,nan,nan,0.294046,0.0231811
194411,274.553,34.7408,nan,nan,0.28046,0.0150565
194412,274.554,34.7408,nan,nan,0.229662,0.00521396
194501,274.554,34.741,nan,nan,0.269573,0.0127487
194502,274.553,34.7412,nan,nan,0.260106,0.00925562
194503,274.553,34.7416,nan,nan,0.265063,0.0185011
194504,274.552,34.742,nan,nan,0.19536,0.0168025
194505,274.551,34.7422,nan,nan,0.231317,0.0183768
194506,274.552,34.7421,nan,nan,0.223919,0.0141377
194507,274.552,34.7417,nan,nan,0.212094,0.0165878
194508,274.553,34.7414,nan,nan,0.202736,0.022661
194509,274.553,34.7411,nan,nan,0.18756,0.0293923
194510,274.553,34.7409,nan,nan,0.207522,0.0179358
194511,274.553,34.7408,nan,nan,0.230175,0.0180121
194512,274.554,34.7408,nan,nan,0.175869,0.0109656
194601,274.554,34.741,nan,nan,0.153654,0.0125734
194602,274.553,34.7412,nan,nan,0.13629,0.0221416
194603,274.553,34.7416,nan,nan,0.123636,0.0163374
194604,274.552,34.742,nan,nan,0.113427,0.0160454
194605,274.551,34.7422,nan,nan,0.102095,0.0356414
194606,274.552,34.7421,nan,nan,0.133015,0.0453984
194607,274.552,34.7417,nan,nan,0.161324,0.0801022
194608,274.553,34.7414,nan,nan,0.154655,0.0704144
194609,274.553,34.7411,nan,nan,0.153575,0.0604675
194610,274.553,34.7409,nan,nan,0.144154,0.0343189
194611,274.553,34.7408,nan,nan,0.11328,0.0202145
194612,274.553,34.7408,nan,nan,0.217138,0.0429298
194701,274.553,34.7411,nan,nan,0.14448,0.0406611
194702,274.553,34.7413,nan,nan,0.179139,0.0422612
194703,274.553,34.7417,nan,nan,0.22026,0.049407
194704,274.552,34.7419,nan,nan,0.163031,0.0497141
194705,274.551,34.7422,nan,nan,0.161895,0.048113
194706,274.551,34.742,nan,nan,0.187224,0.0703153
194707,274.552,34.7417,nan,nan,0.187092,0.0829808
194708,274.552,34.7413,nan,nan,0.206625,0.0892828
194709,274.553,34.741,nan,nan,0.209885,0.102549
194710,274.553,34.7407,nan,nan,0.134997,0.0656881
194711,274.552,34.7406,nan,nan,0.125048,0.056646
194712,274.553,34.7406,nan,nan,0.194966,0.0750868
194801,274.552,34.7407,nan,nan,0.161636,0.0654734
194802,274.551,34.741,nan,nan,0.137898,0.0592583
194803,274.55,34.7413,nan,nan,0.148669,0.0793956
194804,274.548,34.7417,nan,nan,0.16556,0.0855279
194805,274.548,34.742,nan,nan,0.153541,0.0668942
194806,274.548,34.7421,nan,nan,0.191308,0.0885814
194807,274.55,34.7419,nan,nan,0.190126,0.11584
194808,274.55,34.7416,nan,nan,0.209578,0.106592
194809,274.551,34.7413,nan,nan,0.208216,0.0942093
194810,274.551,34.7411,nan,nan,0.160766,0.057844
194811,274.552,34.741,nan,nan,0.15427,0.0594173
194812,274.552,34.741,nan,nan,0.124014,0.0436563
194901,274.552,34.7412,nan,nan,0.141193,0.0464643
194902,274.552,34.7411,nan,nan,0.172583,0.068573
194903,274.551,34.7414,nan,nan,0.182635,0.0926867
194904,274.55,34.7417,nan,nan,0.166071,0.0969503
194905,274.55,34.742,nan,nan,0.181593,0.129033
194906,274.55,34.7418,nan,nan,0.15217,0.110985
194907,274.551,34.7411,nan,nan,0.169618,0.123846
194908,274.551,34.7408,nan,nan,0.210016,0.138906
194909,274.552,34.7404,nan,nan,0.172711,0.115223
194910,274.552,34.7406,nan,nan,0.165895,0.0855498
194911,274.552,34.7406,nan,nan,0.153525,0.0731192
194912,274.553,34.7406,nan,nan,0.145596,0.0712346
195001,274.553,34.7408,nan,nan,0.172374,0.0784923
195002,274.553,34.741,nan,nan,0.19775,0.104621
195003,274.552,34.7413,nan,nan,0.174528,0.0992075
195004,274.551,34.7417,nan,nan,0.193384,0.0946629
195005,274.551,34.7419,nan,nan,0.218532,0.103782
195006,274.551,34.7415,nan,nan,0.203879,0.117172
195007,274.552,34.741,nan,nan,0.225501,0.115454
