yyyymm,temperature_volw_mean,salinity_volw_mean,temperature_uncert,salinity_uncert,temperature_obs_wt,salinity_obs_wt
200707,276.58,34.7234,0.289803,0.0404055,0.891459,0.874413
200708,276.577,34.723,0.29069,0.0403147,0.8905,0.878966
200709,276.579,34.7231,0.290385,0.0403294,0.894186,0.875581
200710,276.58,34.723,0.290071,0.0403168,0.888776,0.868132
200711,276.581,34.7227,0.290824,0.0403442,0.872813,0.862364
200712,276.586,34.7229,0.289696,0.0403612,0.886676,0.871307
200801,276.586,34.7226,0.289814,0.0402275,0.880039,0.871932
200802,276.587,34.7232,0.288722,0.0401548,0.890199,0.876401
200803,276.588,34.7233,0.287959,0.0400422,0.888924,0.876827
200804,276.587,34.7235,0.288371,0.0400379,0.891834,0.873643
200805,276.587,34.7236,0.288319,0.039971,0.892153,0.877525
200806,276.582,34.7237,0.288984,0.0400638,0.887219,0.876595
200807,276.582,34.7235,0.288867,0.0400007,0.88866,0.880179
200808,276.58,34.7232,0.288043,0.0400508,0.901176,0.881395
200809,276.579,34.7234,0.288804,0.0400264,0.893648,0.883269
200810,276.581,34.7232,0.289019,0.0399778,0.892267,0.877413
200811,276.581,34.7228,0.289086,0.040012,0.884086,0.872377
200812,276.583,34.7229,0.288422,0.039973,0.887917,0.87492
200901,276.585,34.7232,0.287878,0.0398366,0.897176,0.885315
200902,276.587,34.7232,0.287256,0.0397784,0.901037,0.888414
200903,276.587,34.7231,0.286913,0.0396787,0.899685,0.892254
200904,276.589,34.7234,0.287225,0.0397703,0.896085,0.884514
200905,276.586,34.7235,0.28711,0.0396628,0.900722,0.888651
200906,276.582,34.7229,0.287483,0.0397592,0.896168,0.885382
200907,276.579,34.7224,0.287431,0.0397649,0.898718,0.886106
200908,276.58,34.7224,0.287697,0.0397845,0.901649,0.88893
200909,276.581,34.7228,0.287833,0.0398007,0.897979,0.888628
200910,276.585,34.7223,0.288257,0.0397765,0.898184,0.885689
200911,276.587,34.7222,0.288745,0.0398693,0.889118,0.880061
200912,276.588,34.7223,0.288817,0.0399301,0.889316,0.879392
201001,276.59,34.7223,0.288391,0.0398684,0.892184,0.88487
201002,276.585,34.7222,0.287153,0.0398603,0.900625,0.886249
201003,276.587,34.7223,0.287207,0.0397216,0.897146,0.889649
201004,276.588,34.7228,0.287001,0.0397192,0.899751,0.892925
201005,276.587,34.7229,0.287292,0.0397579,0.900352,0.893146
201006,276.586,34.7232,0.287569,0.0398654,0.897522,0.886824
201007,276.586,34.7233,0.287981,0.0398956,0.89637,0.885611
201008,276.581,34.7232,0.287347,0.0399211,0.900488,0.882798
201009,276.585,34.7235,0.287905,0.0399923,0.893139,0.87957
201010,276.587,34.7231,0.288281,0.0399499,0.895702,0.878638
201011,276.589,34.7231,0.288969,0.0400036,0.887335,0.873488
201012,276.591,34.7227,0.28856,0.0400298,0.888557,0.87387
201101,276.588,34.7227,0.288072,0.0399798,0.892593,0.878989
201102,276.592,34.7227,0.288342,0.0400616,0.895372,0.882754
201103,276.592,34.7231,0.287696,0.0398994,0.898254,0.883909
201104,276.594,34.7236,0.288073,0.0398898,0.895605,0.882704
201105,276.592,34.7237,0.288386,0.0398936,0.892376,0.882182
