method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,l05,l10,bias50,Edyrs2,Edyrs6,cross_err0.5,cross_err1.0,#yrs
FaIR_comb_unB,43/1_ERF_FaIR,c,2.699,0.036954694,0,0,0.808561237,0.95646878,2.049554005,0.029136371,-0.006508482,174.2120905,174.2120905,6.752572536,10.82784622,-0.011843405,1.208333333,1.173611111,1986.208333,2010.875,93
FaIR_nonat,43/1_ERF_FaIR,c,2.19,0.028037017,0,0,0.759768748,0.759768748,2.198224453,0.027473031,-0.010697027,186.8490785,186.8490785,11.55371614,12.13965779,-0.014010235,1.25,0.951388889,1985.875,2011.291667,93
FaIR_nonat_unB,43/1_ERF_FaIR,c,2.174,0.027999959,0,0,0.787283309,0.787283309,2.204121454,0.027444566,-0.008918409,187.3503236,187.3503236,11.2720362,14.65394732,-0.010265549,1.041666667,1.020833333,1985.875,2010.875,93
EBMKF_ta,43/2_Kalman,c,1.902,0.039213801,0,0,0.836187635,0.836187635,2.091597003,0.029420377,0.006941452,324.1975355,175.7507628,10.11488331,10.22690169,0.01326266,1.25,1.222222222,1982.958333,2009.208333,174
EBMKF_ta2,43/2_Kalman,c,1.876,0.03888916,0,0,0.856005395,0.988263534,2.145987433,0.027687437,4.86E-05,332.6280521,183.8093349,12.43249482,12.71498582,-0.005326712,0.333333333,0.638888889,1985.125,2010.208333,174
EBMKF_ta4,43/2_Kalman,c,1.9,0.030164177,38,3,0.01676959,0.115754145,1.965924347,0.030241117,-0.007931585,304.7182738,151.5954554,19.30570851,19.71389902,-0.016026469,1.25,0.986111111,1986.291667,2010.875,174
eROF_anthro,43/3_Human_Induced,c,9.281,0.095427605,4,2,0.065544968,0.657824689,0.989598396,0.077940868,-3.98E-05,153.3877513,94.81599834,2.249891763,2.375551231,-0.012635757,1.791666667,1.375,1987.125,2007.958333,175
eROF_tot,43/3_Human_Induced,c,9.245,0.132547557,0,0,0.997572182,0.997572182,0.940258912,0.073825853,-4.18E-05,145.7401314,80.60184045,1.770851407,1.999873361,-0.033349963,3.4375,3.048611111,1987.208333,2008.041667,175
GWI_anthro,43/3_Human_Induced,c,3.13,0.092736146,0,0,0.992911032,0.992911032,1.35096717,0.041066542,-5.35E-06,87.81286603,87.81286603,3.728752931,4.557624599,0.01306231,0.958333333,2.215277778,1984.375,2011.458333,75
GWI_anthro_AR6,43/3_Human_Induced,c,2.362,0.074865426,0,0,0.996603511,0.996603511,1.551352896,0.034172601,-3.32E-05,100.8379382,100.8379382,4.620299181,4.981581521,-0.016489798,2.333333333,1.5,1986.375,2012.958333,75
