year,aer_p5,aer_p17,aer_p83,aer_p95,aer_p50,ghg_p5,ghg_p17,ghg_p83,ghg_p95,ghg_p50,ohf_p5,ohf_p17,ohf_p83,ohf_p95,ohf_p50,ant_p5,ant_p17,ant_p83,ant_p95,ant_p50,nat_p5,nat_p17,nat_p83,nat_p95,nat_p50,tot_p5,tot_p17,tot_p83,tot_p95,tot_p50
1903,287.2292181699428,287.23004225547254,287.2323191543112,287.23314323984096,287.23118070489187,287.2292181699428,287.23004225547254,287.2323191543112,287.23314323984096,287.23118070489187,287.4154231073257,287.41624737611653,287.41852478129476,287.4193490500856,287.41738607870565,287.2292181699428,287.23004225547254,287.2323191543112,287.23314323984096,287.23118070489187,287.2292181699428,287.23004225547254,287.2323191543112,287.23314323984096,287.23118070489187,287.1663728482325,287.19358623208166,287.2687751777021,287.2959885615512,287.23118070489187
1904,287.2067508720091,287.20757734751277,287.209860849706,287.2106873252097,287.2087190986094,287.2067508720091,287.20757734751277,287.209860849706,287.2106873252097,287.2087190986094,287.41314476099996,287.4139713841675,287.4162552943472,287.41708191751474,287.41511333925735,287.2067508720091,287.20757734751277,287.209860849706,287.2106873252097,287.2087190986094,287.2067508720091,287.20757734751277,287.209860849706,287.2106873252097,287.2087190986094,287.14385440329573,287.1710916541912,287.2463465430276,287.273583793923,287.2087190986094
1905,287.22758822195925,287.22840406279556,287.23065818204145,287.23147402287776,287.2295311224185,287.22758822195925,287.22840406279556,287.23065818204145,287.23147402287776,287.2295311224185,287.4140125921653,287.41482840251075,287.41708243751197,287.4178982478574,287.41595542001136,287.22758822195925,287.22840406279556,287.23065818204145,287.23147402287776,287.2295311224185,287.22758822195925,287.22840406279556,287.23065818204145,287.23147402287776,287.2295311224185,287.1652023329424,287.1922145523059,287.2668476925311,287.29385991189463,287.2295311224185
1906,287.25390863449815,287.2547306408839,287.2570017951727,287.25782380155846,287.2558662180283,287.25390863449815,287.2547306408839,287.2570017951727,287.25782380155846,287.2558662180283,287.42865213919896,287.42947397000563,287.43174463917995,287.4325664699866,287.4306093045928,287.25390863449815,287.2547306408839,287.2570017951727,287.25782380155846,287.2558662180283,287.25390863449815,287.2547306408839,287.2570017951727,287.25782380155846,287.2558662180283,287.19127634135265,287.2183981935068,287.2933342425498,287.32045609470396,287.2558662180283
1907,287.2520474424135,287.25286016836304,287.25510568136343,287.25591840731295,287.25398292486324,287.2520474424135,287.25286016836304,287.25510568136343,287.25591840731295,287.25398292486324,287.42194020139647,287.42275268529085,287.4249975295075,287.4258100134019,287.42387510739917,287.2520474424135,287.25286016836304,287.25510568136343,287.25591840731295,287.25398292486324,287.2520474424135,287.25286016836304,287.25510568136343,287.25591840731295,287.25398292486324,287.1899338386029,287.2168286081484,287.2911372415781,287.3180320111236,287.25398292486324
1908,287.2581175541643,287.2589309877712,287.26117845598657,287.26199188959345,287.2600547218789,287.2581175541643,287.2589309877712,287.26117845598657,287.26199188959345,287.2600547218789,287.4167205199151,287.4175336803728,287.4197803938936,287.4205935543513,287.4186570371332,287.2581175541643,287.2589309877712,287.26117845598657,287.26199188959345,287.2600547218789,287.2581175541643,287.2589309877712,287.26117845598657,287.26199188959345,287.2600547218789,287.1960670949215,287.22293605717,287.29717338658776,287.32404234883626,287.2600547218789
1909,287.2923562677694,287.29316467115876,287.2953982411852,287.29620664457457,287.294281456172,287.2923562677694,287.29316467115876,287.2953982411852,287.29620664457457,287.294281456172,287.4086619465832,287.4094700207693,287.41170268122676,287.4125107554128,287.410586350998,287.2923562677694,287.29316467115876,287.2953982411852,287.29620664457457,287.294281456172,287.2923562677694,287.29316467115876,287.2953982411852,287.29620664457457,287.294281456172,287.2306907943236,287.25739306746306,287.3311698448809,287.35787211802034,287.294281456172
1910,287.29685615558776,287.2976622273615,287.29988935527405,287.3006954270478,287.2987757913178,287.29685615558776,287.2976622273615,287.29988935527405,287.3006954270478,287.2987757913178,287.3896958482845,287.39050156118594,287.39272769755576,287.3935334104572,287.39161462937085,287.29685615558776,287.2976622273615,287.29988935527405,287.3006954270478,287.2987757913178,287.29685615558776,287.2976622273615,287.29988935527405,287.3006954270478,287.2987757913178,287.23530058717813,287.2619543786194,287.33559720401615,287.36225099545743,287.2987757913178
1911,287.2824008673658,287.28320716165086,287.2854349043486,287.28624119863366,287.28432103299974,287.2824008673658,287.28320716165086,287.2854349043486,287.28624119863366,287.28432103299974,287.3756399899752,287.3764459019946,287.37867258851526,287.3794785005347,287.37755924525493,287.2824008673658,287.28320716165086,287.2854349043486,287.28624119863366,287.28432103299974,287.2824008673658,287.28320716165086,287.2854349043486,287.28624119863366,287.28432103299974,287.22087830125975,287.2475184572574,287.3211236087421,287.34776376473974,287.28432103299974
1912,287.2522931963516,287.25309156161217,287.2552973968913,287.25609576215186,287.25419447925174,287.2522931963516,287.25309156161217,287.2552973968913,287.25609576215186,287.25419447925174,287.3716392755627,287.3724373788011,287.37464249012885,287.3754405933673,287.373539934465,287.2522931963516,287.25309156161217,287.2552973968913,287.25609576215186,287.25419447925174,287.2522931963516,287.25309156161217,287.2552973968913,287.25609576215186,287.25419447925174,287.1912449074179,287.21767798127274,287.29071097723073,287.31714405108556,287.25419447925174
