variable,OHF,OHF,OHF,OHF,OHF,GHG,GHG,GHG,GHG,GHG,OHFa,OHFa,OHFa,OHFa,OHFa,Ant,Ant,Ant,Ant,Ant,Nat,Nat,Nat,Nat,Nat,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,0.026348448,0.027175748,0.029461527,0.030288827,0.028318637,0.099681042,0.10050867,0.102795357,0.103622986,0.101652014,0.029324312,0.030151552,0.032437165,0.033264404,0.031294358,-0.053457523,-0.052630049,-0.050343791,-0.049516317,-0.05148692,-0.013620585,-0.012793124,-0.0105069,-0.009679439,-0.011650012,-0.033388164,-0.006061685,0.069439735,0.096766214,0.031689025
1903,0.009876462,0.010700999,0.012979143,0.01380368,0.011840071,0.111918926,0.112743792,0.115022846,0.115847711,0.113883319,0.02421478,0.025039262,0.027317257,0.028141739,0.026178259,-0.070025577,-0.069200836,-0.066922124,-0.066097382,-0.06806148,-0.11162157,-0.110797332,-0.108520012,-0.107695774,-0.109658672,-0.137061353,-0.109847969,-0.034659024,-0.00744564,-0.072253496
1904,0.009771806,0.010598679,0.01288328,0.013710154,0.01174098,0.124148403,0.124975606,0.127261118,0.128088321,0.126118362,0.023501996,0.024328823,0.026613298,0.027440126,0.025471061,-0.074014035,-0.073186917,-0.070901637,-0.070074518,-0.072044277,-0.133135827,-0.1323092,-0.130025278,-0.129198651,-0.131167239,-0.176557382,-0.149320132,-0.074065243,-0.046827992,-0.111692687
1905,0.009766448,0.010582495,0.012837185,0.013653232,0.01170984,0.122456385,0.123272754,0.125528334,0.126344704,0.124400544,0.024965139,0.025781145,0.028035719,0.028851725,0.026908432,-0.062522553,-0.061706241,-0.059450819,-0.058634507,-0.06057853,-0.110469607,-0.10965362,-0.107399097,-0.10658311,-0.108526358,-0.157047587,-0.130035368,-0.055402227,-0.028390008,-0.092718797
1906,-0.002857718,-0.002035664,0.000235621,0.001057675,-0.000900021,0.10922192,0.11004431,0.112316522,0.113138912,0.111180416,0.026268451,0.02709047,0.029361661,0.030183681,0.028226066,-0.048529177,-0.04770682,-0.045434694,-0.044612336,-0.046570757,-0.08374998,-0.082927827,-0.080656268,-0.079834115,-0.081792048,-0.121045602,-0.09392375,-0.018987701,0.008134151,-0.056455726
1907,-0.012851148,-0.012038448,-0.009793007,-0.008980307,-0.010915728,0.109213652,0.110026694,0.112273079,0.11308612,0.111149886,0.018724483,0.01953715,0.0217825,0.022595167,0.020659825,-0.060926671,-0.060113654,-0.057867335,-0.057054317,-0.058990494,-0.084176383,-0.083363515,-0.08111761,-0.080304743,-0.082240563,-0.127136721,-0.100241952,-0.025933319,0.000961451,-0.063087635
1908,-0.031938232,-0.031124858,-0.028877554,-0.02806418,-0.030001206,0.136808962,0.137622687,0.139870959,0.140684683,0.138746823,0.006935584,0.007748926,0.00999614,0.010809482,0.008872533,-0.069918503,-0.069104787,-0.06685654,-0.066042825,-0.067980664,-0.07748115,-0.076667576,-0.074419719,-0.073606144,-0.075543647,-0.135049159,-0.108180196,-0.033942867,-0.007073905,-0.071061532
1909,-0.049887458,-0.049079165,-0.046845899,-0.046037605,-0.047962532,0.150900133,0.151708768,0.153942976,0.154751611,0.152825872,-0.005604625,-0.004796368,-0.002563204,-0.001754947,-0.003679786,-0.080774501,-0.079965862,-0.077731641,-0.076923002,-0.078848752,-0.042456402,-0.041647861,-0.039413912,-0.038605372,-0.040530887,-0.140815129,-0.114112856,-0.040336078,-0.013633805,-0.077224467
1910,-0.058676546,-0.057870602,-0.055643828,-0.054837884,-0.056757215,0.146896162,0.147702443,0.149930148,0.150736429,0.148816295,-0.018884629,-0.018078728,-0.015852073,-0.015046172,-0.016965401,-0.091134496,-0.090328204,-0.088100467,-0.087294175,-0.089214336,-0.036903862,-0.036097654,-0.033870149,-0.033063941,-0.034983902,-0.146048418,-0.119394627,-0.045751801,-0.01909801,-0.082573214
1911,-0.051661895,-0.050855739,-0.048628378,-0.047822221,-0.049742058,0.153560376,0.15436687,0.156595167,0.157401661,0.155481018,-0.022026522,-0.021220416,-0.018993193,-0.018187087,-0.020106805,-0.101708384,-0.100901879,-0.098673555,-0.097867051,-0.099787717,-0.050715721,-0.049909291,-0.047681173,-0.046874743,-0.048795232,-0.151831617,-0.125191461,-0.05158631,-0.024946154,-0.088388886
