variable,Aer,Aer,Aer,Aer,Aer,GHG,GHG,GHG,GHG,GHG,OHF,OHF,OHF,OHF,OHF,Ant,Ant,Ant,Ant,Ant,Nat,Nat,Nat,Nat,Nat,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,0.276046032,0.276882626,0.279194085,0.280030678,0.278038355,0.276046032,0.276882626,0.279194085,0.280030678,0.278038355,0.435518034,0.436354385,0.438665171,0.439501522,0.437509778,0.276046032,0.276882626,0.279194085,0.280030678,0.278038355,0.276046032,0.276882626,0.279194085,0.280030678,0.278038355,0.212624472,0.240092332,0.315984379,0.343452239,0.278038355
1895,0.30557494,0.306406539,0.308704197,0.309535796,0.307555368,0.30557494,0.306406539,0.308704197,0.309535796,0.307555368,0.433970976,0.434802216,0.437098881,0.437930121,0.435950548,0.30557494,0.306406539,0.308704197,0.309535796,0.307555368,0.30557494,0.306406539,0.308704197,0.309535796,0.307555368,0.242342489,0.269725946,0.345384791,0.372768247,0.307555368
1896,0.312607956,0.313448019,0.315769061,0.316609124,0.31460854,0.312607956,0.313448019,0.315769061,0.316609124,0.31460854,0.425194766,0.426034535,0.428354767,0.429194537,0.427194651,0.312607956,0.313448019,0.315769061,0.316609124,0.31460854,0.312607956,0.313448019,0.315769061,0.316609124,0.31460854,0.249047352,0.276577067,0.352640014,0.380169728,0.31460854
1897,0.319482013,0.320319904,0.322634949,0.32347284,0.321477426,0.319482013,0.320319904,0.322634949,0.32347284,0.321477426,0.414350875,0.415188511,0.417502849,0.418340485,0.41634568,0.319482013,0.320319904,0.322634949,0.32347284,0.321477426,0.319482013,0.320319904,0.322634949,0.32347284,0.321477426,0.25595075,0.283465972,0.35948888,0.387004103,0.321477426
1898,0.332602887,0.333433769,0.335729448,0.336560331,0.334581609,0.332602887,0.333433769,0.335729448,0.336560331,0.334581609,0.407114009,0.407944629,0.41023958,0.4110702,0.409092104,0.332602887,0.333433769,0.335729448,0.336560331,0.334581609,0.332602887,0.333433769,0.335729448,0.336560331,0.334581609,0.269391251,0.296765251,0.372397967,0.399771966,0.334581609
1899,0.342719304,0.34354416,0.345823186,0.346648041,0.344683673,0.342719304,0.34354416,0.345823186,0.346648041,0.344683673,0.405850724,0.406675257,0.408953392,0.409777925,0.407814324,0.342719304,0.34354416,0.345823186,0.346648041,0.344683673,0.342719304,0.34354416,0.345823186,0.346648041,0.344683673,0.279769603,0.307027587,0.382339759,0.409597743,0.344683673
1900,0.35110436,0.351936589,0.354235989,0.355068218,0.353086289,0.35110436,0.351936589,0.354235989,0.355068218,0.353086289,0.394998328,0.395830171,0.398128503,0.398960345,0.396979337,0.35110436,0.351936589,0.354235989,0.355068218,0.353086289,0.35110436,0.351936589,0.354235989,0.355068218,0.353086289,0.287857374,0.315247564,0.390925014,0.418315204,0.353086289
1901,0.350384175,0.351215367,0.353511899,0.354343091,0.352363633,0.350384175,0.351215367,0.353511899,0.354343091,0.352363633,0.392322685,0.39315345,0.395448804,0.39627957,0.394301127,0.350384175,0.351215367,0.353511899,0.354343091,0.352363633,0.350384175,0.351215367,0.353511899,0.354343091,0.352363633,0.287145124,0.314530944,0.390196322,0.417582142,0.352363633
1902,0.320821422,0.321648729,0.32393453,0.324761838,0.32279163,0.320821422,0.321648729,0.32393453,0.324761838,0.32279163,0.402304632,0.403131649,0.405416649,0.406243667,0.404274149,0.320821422,0.321648729,0.32393453,0.324761838,0.32279163,0.320821422,0.321648729,0.32393453,0.324761838,0.32279163,0.257714441,0.28504092,0.36054234,0.387868819,0.32279163
1903,0.221025707,0.221849792,0.224126691,0.224950777,0.222988242,0.221025707,0.221849792,0.224126691,0.224950777,0.222988242,0.407230644,0.408054913,0.410332318,0.411156587,0.409193616,0.221025707,0.221849792,0.224126691,0.224950777,0.222988242,0.221025707,0.221849792,0.224126691,0.224950777,0.222988242,0.158180385,0.185393769,0.260582715,0.287796098,0.222988242
