yyyymm,temperature_volw_mean,salinity_volw_mean,temperature_uncert,salinity_uncert,temperature_obs_wt,salinity_obs_wt
191509,275.227,34.7158,0.180418,0.0230753,0.0126356,0.0126574
191510,275.227,34.7155,0.180383,0.0230797,0.0139122,0.0130848
191511,275.228,34.7154,0.18036,0.0230825,0.0187505,0.01557
191512,275.229,34.7154,0.180344,0.0230842,0.0101102,0.00738544
191601,275.231,34.7155,0.180335,0.0230854,0.00755443,0.00341697
191602,275.232,34.7157,0.180328,0.0230861,0.0160632,0.0136354
191603,275.23,34.716,0.180324,0.0230865,0.00888334,0.00694713
191604,275.228,34.7164,0.180321,0.0230868,0.00938555,0.00651326
191605,275.226,34.7166,0.180319,0.023087,0.0135579,0.0103005
191606,275.226,34.7166,0.180318,0.0230871,0.01063,0.00714093
191607,275.226,34.7165,0.180317,0.0230872,0.0212257,0.0183698
191608,275.226,34.7162,0.180296,0.0230845,0.0270244,0.0194345
191609,275.227,34.7158,0.180303,0.0230856,0.00745671,0
191610,275.227,34.7155,0.180297,0.0230856,0.0172974,0.0153444
191611,275.228,34.7154,0.180297,0.0230865,0.0174467,0.0154162
191612,275.229,34.7154,0.180304,0.0230868,0.00935199,0.0106926
191701,275.231,34.7155,0.180308,0.023087,0.00732662,0.00740973
191702,275.232,34.7157,0.18031,0.0230871,0.0160512,0.0153428
191703,275.23,34.716,0.180312,0.0230872,0.0116812,0.0108786
191704,275.228,34.7164,0.180313,0.0230873,0.00673,0.00565431
191705,275.226,34.7166,0.180314,0.0230873,0.0189558,0.0187199
191706,275.226,34.7166,0.180314,0.0230873,0.00674624,0.0053979
191707,275.226,34.7165,0.180315,0.0230873,0.0070861,0.00342124
191708,275.226,34.7162,0.180315,0.0230873,0.0183073,0.0155522
191709,275.227,34.7158,0.180315,0.0230874,0.00668149,0.00330886
191710,275.227,34.7155,0.180315,0.0230874,0.00649488,0.00330105
191711,275.228,34.7154,0.180315,0.0230874,0.0160081,0.0132023
191712,275.229,34.7155,0.180315,0.0230874,0.00681878,0.00331043
191801,275.231,34.7155,0.180315,0.0230874,0.0129799,0.011095
191802,275.232,34.7157,0.180315,0.0230874,0.0126376,0.0104298
191803,275.23,34.716,0.180315,0.0230874,0.00358293,0
191804,275.228,34.7164,0.180315,0.0230874,0.00669079,0.00332459
191805,275.226,34.7166,0.180315,0.0230874,0.0195414,0.0163791
191806,275.226,34.7167,0.180315,0.0230874,0.00719358,0.00342388
191807,275.226,34.7165,0.180315,0.0230874,0.0113342,0.00759945
191808,275.226,34.7162,0.180315,0.0230874,0.0281139,0.026759
191809,275.227,34.7158,0.180315,0.0230874,0.0119488,0.0100772
191810,275.227,34.7156,0.180315,0.0230874,0.00987351,0.00645594
191811,275.228,34.7154,0.180315,0.0230874,0.0188162,0.0179421
191812,275.229,34.7155,0.180315,0.0230874,0.00399915,0.00213935
191901,275.231,34.7156,0.180315,0.0230874,0.00373341,0.00214086
191902,275.232,34.7157,0.180315,0.0230874,0.0171748,0.0164937
191903,275.23,34.716,0.180315,0.0230874,0.0100676,0.00774883
191904,275.228,34.7164,0.180299,0.0230766,0.0197333,0.0162934
191905,275.227,34.7166,0.180313,0.023081,0.0308335,0.0287784
191906,275.226,34.7167,0.180329,0.023084,0.0127039,0.0123115
191907,275.226,34.7165,0.180324,0.0230852,0.0049647,0.00300535
191908,275.226,34.7162,0.180321,0.023086,0.020159,0.0211504
