yyyymm,temperature_volw_mean,temperature_uncert,temperature_uncer_percentVariance
201607,2.39096,0.0391981,92
201608,2.39104,0.0392839,92
201609,2.39169,0.0392887,92
201610,2.3925,0.0393161,92
201611,2.39334,0.0391708,92
201612,2.39351,0.0390246,92
201701,2.39386,0.0389277,91
201702,2.39432,0.0389434,92
201703,2.39358,0.0390082,92
201704,2.39464,0.0389428,92
201705,2.39494,0.0389791,92
201706,2.39534,0.0391513,92
201707,2.39312,0.0391697,92
201708,2.39255,0.0391529,92
201709,2.39231,0.0391502,92
201710,2.39432,0.0391102,92
201711,2.39406,0.0390137,92
201712,2.3935,0.0389244,91
201801,2.39387,0.0389004,91
201802,2.39423,0.0388667,91
201803,2.39471,0.0389083,91
201804,2.39552,0.0389887,91
201805,2.39512,0.038996,91
201806,2.39556,0.0389658,91
201807,2.39318,0.0390458,91
201808,2.3929,0.0390385,91
201809,2.39254,0.0389821,91
201810,2.39452,0.0389601,91
201811,2.39485,0.0389056,91
201812,2.39459,0.0390108,91
201901,2.39473,0.0390571,91
201902,2.39453,0.0391315,91
201903,2.39535,0.0392221,91
201904,2.39663,0.0390261,91
201905,2.39603,0.0391254,91
201906,2.39591,0.0389641,91
201907,2.39434,0.0390925,91
201908,2.39504,0.0391743,91
201909,2.39497,0.0392293,91
201910,2.39588,0.0391117,91
201911,2.39551,0.0389983,91
201912,2.39576,0.0388453,91
202001,2.39655,0.038924,91
202002,2.39727,0.0388201,91
202003,2.39677,0.0389218,91
202004,2.39683,0.0390005,91
202005,2.39684,0.0391232,91
202006,2.39754,0.0392407,91
202007,2.39537,0.0392552,91
202008,2.39377,0.0392775,91
202009,2.39456,0.0391582,91
202010,2.39607,0.0391819,91
202011,2.39649,0.0392346,91
202012,2.3966,0.0392324,91
202101,2.39594,0.0391799,91
202102,2.39602,0.0391767,91
202103,2.39675,0.0391607,91
202104,2.39671,0.0391265,91
202105,2.39689,0.0391861,91
202106,2.39741,0.0393207,91
202107,2.39838,0.039352,91
202108,2.39704,0.0393658,91
202109,2.39698,0.0394413,91
202110,2.39695,0.0393158,91
202111,2.39704,0.0392684,91
202112,2.39731,0.0392525,91
202201,2.39616,0.0392634,91
202202,2.39624,0.039158,91
202203,2.39771,0.0391549,91
202204,2.39775,0.0391598,91
202205,2.39882,0.0392037,91
202206,2.39876,0.0392471,91
202207,2.39911,0.0392282,91
202208,2.39916,0.039251,91
202209,2.39882,0.039294,91
202210,2.39787,0.0393868,91
202211,2.39734,0.0393618,91
202212,2.39758,0.03924,91
202301,2.39711,0.0392082,91
202302,2.39755,0.0392389,91
202303,2.39773,0.0392531,91
202304,2.39805,0.0392341,91
202305,2.39801,0.0392699,91
202306,2.39747,0.0392904,91
202307,2.39779,0.0393685,91
202308,2.3974,0.0393599,91
202309,2.39777,0.0393306,91
202310,2.39727,0.0393351,91
202311,2.39642,0.039346,91
202312,2.39734,0.0394201,91
202401,2.39779,0.0393289,91
202402,2.39787,0.0390374,91
202403,2.39773,0.0390335,91
202404,2.39803,0.0390692,91
202405,2.39894,0.0390713,91
202406,2.39835,0.0397162,91
