method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,100bias,l15,l20,bias50,Edyrs15,Edyrs20,EdyrsA,ncEdyrs,e100log-l,e100RMS,e100bias,el15,el20,ebias50,eEdyrs15,eEdyrs20,eEdyrsA,nceEdyrs
lowess1dt20wnc,42/3_ST_Fits,c,6.323,0.17643137445913687,8,0,0.10008365539382459,0.37151628883937254,0.8174030415071867,0.06631669049210526,-0.004620324874204055,188.82010258816013,29.499890809418137,0.06464401689129141,0.0017255292998419867,1.590339106860824,1.3076706088165908,0.0002950727939605713,2.7083333334846884,0.45833333316477365,1.1739130434096336,27.0,28.745278797077084,0.07375559454663433,-0.03413053928048704,1.4846636326063907,1.3318135585108202,-0.026792464329271938,4.0416666668159,0.041666666834771604,1.340579710210665,27.0
quartic,42/2_LT_Fits,c,3.078,0.05002085519007988,103,20,0.0008524494140138875,0.013440051232188142,0.5428411268574596,0.08247143123729615,0.02996910826993239,76.5405988869018,23.000974864151797,0.08911390266147266,0.07959243846508722,2.235113276417354,0.9628305396252969,0.08058770746675828,5.958333333174096,3.208333333162045,2.874999999808225,23.0,88.1692204937815,0.06959610160419362,0.04373636988475818,3.7429655208384776,2.094401314466863,0.05350017034352578,4.624999999842885,2.7083333331625,1.9909420287959996,23.0
lowess2dt20wnc,42/3_ST_Fits,c,11.838,0.23201208644610669,6,0,0.1324582070142442,0.3165220353399772,0.5126879720266205,0.09918945783597946,-0.004277452783663132,118.43092153814933,2.292826309659972,0.10547990697423999,0.0030948725011613635,1.1508127025208676,0.9935594015702534,-0.0025582969188690185,2.208333333485143,3.04166666649553,2.050724637637141,34.0,2.470319737270474,0.1081609714791351,-0.032761196079167665,0.950078830728262,1.0114361231004272,-0.029645834042101527,3.5416666668163543,2.541666666495985,2.0797101449505173,34.0
lowess1dt10wnc,42/3_ST_Fits,c,11.687,0.25609937739828903,1,0,0.3488412400619098,0.8152151615433602,0.5195077459180705,0.09475828897735712,-0.0041166783665262515,120.00628930707427,-5.964053333917069,0.10020249537690085,0.001518522368537055,1.0570972201860542,0.877834418147959,-0.004090002179145813,2.041666666818628,2.2083333333314386,1.9269323671480207,36.0,-6.039109396035229,0.1046576512757888,-0.03433754621179197,0.9160849865910544,0.8942554868317761,-0.03117753930237832,3.3750000001498393,2.2083333333314386,2.0549516908661225,36.0
Bayes_seq_CP,42/2_LT_Fits,c,2.366,0.03513077227722772,123,85,1.6544350248051438e-24,7.321264935282206e-21,-2.500070515396465,0.08601804750065986,-0.05893728591273192,-480.0135389561213,-199.4734051968291,0.09783367502401752,-0.07937302251625061,5.56196425260419,0.6186847113360344,-0.1259145352268219,2.1250000001516582,2.625000000165983,2.9221014494433586,23.0,-431.48073099452466,0.12655205761179297,-0.11522909109657964,2.186461059250898,0.28113755060573575,-0.1530020723500544,3.4583333334828694,3.125000000165528,3.748188405987657,23.0
lag10y,42/1_Run_Means,c,2.93,0.04129177091566442,145,87,2.2918494438274915e-07,0.00012273181796822527,0.0713978612769544,0.09404937193540656,-0.06584043434651737,16.492905954976464,-215.00675468116677,0.13744417631874908,-0.13224371671676635,0.12556265093964025,0.10472773455060133,-0.15490409433841706,5.875000000148475,3.7083333334981035,4.577898550917454,23.0,-438.00164750259165,0.17202142400874232,-0.1680997852970954,0.011930993039735547,0.04451583838998636,-0.18199163146164957,7.208333333479686,4.208333333497649,5.461956521928493,23.0
hinge75meet,42/2_LT_Fits,c,1.609,0.06260742652413404,78,51,3.1688377061551043e-06,3.1688377061551043e-06,-0.9531506115086427,0.15901289655969392,-0.10639319415750645,-148.69149539534826,-272.7096314773381,0.20544496762444017,-0.17627791146480773,1.6954056762550982,0.06951754033633319,-0.27659634568474384,3.875000000150294,6.708333333495375,7.344202898735553,22.0,-385.2299150422938,0.2320609172889353,-0.21213398004513673,0.7827678605207838,0.042810720824505086,-0.3036838828079763,5.208333333481505,7.20833333349492,8.21376811612318,22.0
OLS_hinge75,42/2_LT_Fits,c,2.05,0.0359032358099154,97,55,1.4182853674753358e-13,8.957931763871836e-13,-2.8043078735021143,0.10816311605316459,-0.07204924930113113,-437.47202826632986,-556.4762652570028,0.13490830598525647,-0.11405262216182789,2.254841153661683,0.009787089904463829,-0.18061566446337896,2.7083333334846884,4.458333333497649,4.4547101451221645,23.0,-845.3631127521846,0.16237616048842837,-0.14990869074215693,0.40401653329039916,0.0026398958801310108,-0.20770320158661146,4.0416666668159,4.958333333497194,5.3387681161333225,23.0
opt_clim_norm,42/3_ST_Fits,c,14.73,0.04322482583983071,104,57,0.0,1.920824588834233e-19,-30.63122129266925,0.0900572524565092,-0.019032225425414225,-7075.812118606596,-1188.0467510809808,0.11603596264855837,-0.015979386700524224,0.036077407931568634,4.384779828167052,0.01126374900341034,3.541666666817264,2.9305555554968428,2.659420289831442,45.0,-8078.445187344697,0.13160560869759094,-0.05183545528085325,0.07275677985660314,14.291714211328664,-0.015823788119822168,4.875000000148475,2.7638888888303277,2.8713768116285694,45.0
TheilSen_h7075,42/2_LT_Fits,c,1.951,0.03613198878057022,116,99,3.622223287896135e-33,1.3986942733777748e-28,-10.025954357485094,0.17887295343933676,-0.1327526260481897,-1564.0488797676749,-1665.723785217994,0.22868113865471307,-0.2062573528191029,0.05965629882415366,1.294635648693435e-07,-0.28796375903241794,5.541666666815445,5.625000000163254,7.927536232069592,22.0,-2134.173860946161,0.2589807631351712,-0.24211342139943193,0.0034404084412273514,1.284524016098896e-08,-0.3150512961556505,6.875000000146656,6.1250000001627996,8.797101449457159,22.0
EBMKF_ta,43/2_Kalman,c,0.323,0.03669712439196949,193,150,6.464300795576374e-29,2.1303140086677186e-26,-11.570385927969298,0.16586448076342702,0.06422830367107517,-2672.759149360908,-2574.9884029426207,0.24483030953171214,0.22723403639989365,3.4790035130630918e-09,2.914448939952292e-12,0.30986308801392964,8.124999999838792,6.958333333158862,7.643115941840546,23.0,-2026.698729511902,0.21961089980468412,0.19137796781956462,3.2769590095567166e-06,2.34828884663546e-10,0.28277555089069717,6.791666666507581,6.458333333159317,6.759057970827826,23.0
OLS_refit,42/2_LT_Fits,c,0.76,0.036536401782689645,127,117,2.9815555522932193e-46,1.382816087682183e-44,-43.89677931057935,0.4033767719888301,-0.30398385379440507,-6189.445882791688,-6086.0285281119795,0.5012436131575593,-0.47380109825044847,1.645193117409446e-26,2.8367008156566274e-34,-0.6298296791688041,15.0,15.0,15.0,0.0,-7137.995161470225,0.5309907198385941,-0.5096571668307776,1.172914546500009e-30,5.543294512976345e-36,-0.6569172162920366,15.0,15.0,15.0,0.0
