variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1890,-0.0539582315832375,-0.0406966375062862,-0.007613769142578,0.0013938593891604,-0.0233976080392797,0.0038624121535879,0.0143770866747945,0.0291276326837638,0.0317769659683107,0.0238893081744511,-0.1033962448438008,-0.0735516217350959,0.0075379988892624,0.0382002204035718,-0.0327358044063051
1891,-0.0594872237493594,-0.0467856880401571,-0.0128442475323875,-0.0057295673061162,-0.0296398475766181,0.0049382736207916,0.015927725934113,0.0316666874848305,0.0345899563282727,0.0259608346968888,-0.1068905425568421,-0.0773678712050119,0.0031740619514796,0.033165518194437,-0.0368163467695315
1892,-0.0627465970814227,-0.0507482594624161,-0.0175554562918841,-0.0109148589583734,-0.0341644771397113,0.0079279106110333,0.0186715123926599,0.034608170390129,0.0377098359788456,0.0286834267899393,-0.1077464262644449,-0.0785355858008065,0.0014654574908005,0.0311224369021753,-0.0382654598603645
1893,-0.0447009233136971,-0.0352475682521859,-0.008297867802903,-0.0030649541721989,-0.0221212844674785,0.0106017380642393,0.021415158578505,0.0377647618080178,0.0410210628062486,0.0316179608926176,-0.0898213739196458,-0.0616767712930838,0.0151861922008294,0.0443808001155654,-0.0232085178916652
1894,-0.0172783289104699,-0.0105337073747068,0.0098497533891349,0.0176814934238791,-0.0025415016571059,0.0113657081499694,0.0230334592548509,0.0405844102303186,0.0440959781408309,0.0339838067690531,-0.0633042159800727,-0.0363639113306998,0.0376598398511607,0.0664321660995483,0.0002216415305155
1895,0.0004805235788807,0.0051170932532598,0.0263290983873108,0.0363665049274762,0.0137696815654635,0.0113634443841874,0.0240998555719852,0.043167182765901,0.046976711663107,0.035998669763406,-0.0434074567630886,-0.0173594392556696,0.0556450201074281,0.0839817461868127,0.0183378107224901
1896,0.0087519335250059,0.014023957774043,0.0358592383563518,0.0464503881211082,0.0236450973898172,0.0129668876528739,0.0259093609079718,0.0457409363736708,0.0497872470567623,0.0381878664096196,-0.0307042055142422,-0.0051699187862686,0.0669347946097452,0.0948930585136016,0.0299076391384005
1897,0.0132571976476658,0.0193547013464073,0.0409647812073429,0.0513073867186903,0.029268774203956,0.0138191510612765,0.0272054278974731,0.0480836083491642,0.052405679039657,0.0400552780677874,-0.0227622896743317,0.0024061154890417,0.0735658241808414,0.1011710443844397,0.036935324470202
1898,0.0159962587368984,0.0228527440751592,0.044527473549048,0.0544593511149287,0.033117207388083,0.0134886987196902,0.0278081687850256,0.0502632604042688,0.0549225945646563,0.0416054440041382,-0.0171354711366195,0.0077184473769738,0.0781104846298694,0.1054159832497437,0.0418409258127212
1899,0.0178095663276811,0.0252336603030562,0.0473617778966823,0.0569980990762511,0.0359463250885406,0.0125021831753352,0.0278424556305011,0.0521853094299633,0.0572930500532189,0.0427232446769872,-0.0130027079489081,0.0115967444082101,0.081362951149543,0.10838876478374,0.0454295047869284
1900,0.0190216274932026,0.0268491188871363,0.0496319025382399,0.0591394623741507,0.038004387790958,0.0113831706810742,0.0277014168662329,0.054040322912236,0.059669418943425,0.043678065141042,-0.0098393570942182,0.0146032603240261,0.0838811571896075,0.1106909497330585,0.0482397538920243
